,titre,marque,modele,annee,kilometrage,boite_vitesse,carburant,prix
0,MERCEDES CLASSE C V SW,MERCEDES,2.0 200 D 163 AMG LINE,2023,25 630 km,Automatique,Diesel,51 680 €
1,MERCEDES GLE COUPE II,MERCEDES,2.0 350 194 AMG LINE,2022,30 229 km,Automatique,,97 090 €
2,MERCEDES CLA SHOOTING BRAKE phase 2,MERCEDES,2.1 200 D 136 INSPIRATION,2020,63 506 km,Automatique,Diesel,29 360 €
3,MERCEDES CLASSE C IV,MERCEDES,1.6 200 D 136 FASCINATION,2017,98 280 km,Manuelle,Diesel,26 790 €
4,MERCEDES CLASSE E IV CABRIOLET,MERCEDES,1.8 250 204 EXECUTIVE,2012,109 000 km,Automatique,Essence,25 060 €
5,MERCEDES SLC AMG,MERCEDES,3.0 43 367 AMG,2018,54 120 km,Automatique,Essence,61 480 €
6,MERCEDES SLK II AMG,MERCEDES,5.4 55 360 AMG,2010,80 510 km,Automatique,Essence,42 780 €
7,MERCEDES CLASSE C IV COUPE phase 2,MERCEDES,1.5 200 184 AMG LINE,2018,67 656 km,Automatique,Essence,42 910 €
8,MERCEDES CLASSE GL,MERCEDES,4.7 450 340,2012,177 100 km,Automatique,Essence,35 090 €
9,MERCEDES CLASSE A IV,MERCEDES,1.3 250 218 BUSINESS LINE,2023,41 480 km,Automatique,Hybrides,36 580 €
10,MERCEDES GLE,MERCEDES,2.1 250 D 204 SPORTLINE,2018,105 070 km,Automatique,Diesel,44 330 €
11,MERCEDES GLA II AMG,MERCEDES,2.0 45 387 AMG S,2023,28 060 km,Automatique,Essence,111 000 €
12,MERCEDES GLC COUPE phase 2,MERCEDES,2.0 300 D 245 AMG LINE,2021,69 671 km,Automatique,Diesel,61 030 €
13,MERCEDES CLASSE G 3,MERCEDES,G LONG 350 D A,2017,123 165 km,Automatique,Diesel,95 080 €
14,MERCEDES CLASSE C IV SW AMG,MERCEDES,4.0 63 476 AMG,2017,96 600 km,Automatique,Essence,44 080 €
15,MERCEDES CLASSE A IV,MERCEDES,2.0 250 224 AMG LINE,2019,91 690 km,Automatique,Essence,30 720 €
16,MERCEDES CLA II SHOOTING BRAKE,MERCEDES,2.0 220 D 190 AMG LINE,2020,87 860 km,Automatique,Diesel,36 830 €
0,MERCEDES CLASSE C V SW,MERCEDES,2.0 200 D 163 AMG LINE,2023,25 630 km,Automatique,Diesel,51 680 €
1,MERCEDES GLE COUPE II,MERCEDES,2.0 350 194 AMG LINE,2022,30 229 km,Automatique,,97 090 €
2,MERCEDES CLA SHOOTING BRAKE phase 2,MERCEDES,2.1 200 D 136 INSPIRATION,2020,63 506 km,Automatique,Diesel,29 360 €
3,MERCEDES CLASSE C IV,MERCEDES,1.6 200 D 136 FASCINATION,2017,98 280 km,Manuelle,Diesel,26 790 €
4,MERCEDES CLASSE E IV CABRIOLET,MERCEDES,1.8 250 204 EXECUTIVE,2012,109 000 km,Automatique,Essence,25 060 €
5,MERCEDES SLC AMG,MERCEDES,3.0 43 367 AMG,2018,54 120 km,Automatique,Essence,61 480 €
6,MERCEDES SLK II AMG,MERCEDES,5.4 55 360 AMG,2010,80 510 km,Automatique,Essence,42 780 €
7,MERCEDES CLASSE C IV COUPE phase 2,MERCEDES,1.5 200 184 AMG LINE,2018,67 656 km,Automatique,Essence,42 910 €
8,MERCEDES CLASSE GL,MERCEDES,4.7 450 340,2012,177 100 km,Automatique,Essence,35 090 €
9,MERCEDES CLASSE A IV,MERCEDES,1.3 250 218 BUSINESS LINE,2023,41 480 km,Automatique,Hybrides,36 580 €
10,MERCEDES GLE,MERCEDES,2.1 250 D 204 SPORTLINE,2018,105 070 km,Automatique,Diesel,44 330 €
11,MERCEDES GLA II AMG,MERCEDES,2.0 45 387 AMG S,2023,28 060 km,Automatique,Essence,111 000 €
12,MERCEDES GLC COUPE phase 2,MERCEDES,2.0 300 D 245 AMG LINE,2021,69 671 km,Automatique,Diesel,61 030 €
13,MERCEDES CLASSE G 3,MERCEDES,G LONG 350 D A,2017,123 165 km,Automatique,Diesel,95 080 €
14,MERCEDES CLASSE C IV SW AMG,MERCEDES,4.0 63 476 AMG,2017,96 600 km,Automatique,Essence,44 080 €
15,MERCEDES CLASSE A IV,MERCEDES,2.0 250 224 AMG LINE,2019,91 690 km,Automatique,Essence,30 720 €
16,MERCEDES CLA II SHOOTING BRAKE,MERCEDES,2.0 220 D 190 AMG LINE,2020,87 860 km,Automatique,Diesel,36 830 €
0,MERCEDES CLASSE C V SW,MERCEDES,2.0 200 D 163 AMG LINE,2023,25 630 km,Automatique,Diesel,51 680 €
1,MERCEDES GLE COUPE II,MERCEDES,2.0 350 194 AMG LINE,2022,30 229 km,Automatique,,97 090 €
2,MERCEDES CLA SHOOTING BRAKE phase 2,MERCEDES,2.1 200 D 136 INSPIRATION,2020,63 506 km,Automatique,Diesel,29 360 €
3,MERCEDES CLASSE C IV,MERCEDES,1.6 200 D 136 FASCINATION,2017,98 280 km,Manuelle,Diesel,26 790 €
4,MERCEDES CLASSE E IV CABRIOLET,MERCEDES,1.8 250 204 EXECUTIVE,2012,109 000 km,Automatique,Essence,25 060 €
5,MERCEDES SLC AMG,MERCEDES,3.0 43 367 AMG,2018,54 120 km,Automatique,Essence,61 480 €
6,MERCEDES SLK II AMG,MERCEDES,5.4 55 360 AMG,2010,80 510 km,Automatique,Essence,42 780 €
7,MERCEDES CLASSE C IV COUPE phase 2,MERCEDES,1.5 200 184 AMG LINE,2018,67 656 km,Automatique,Essence,42 910 €
8,MERCEDES CLASSE GL,MERCEDES,4.7 450 340,2012,177 100 km,Automatique,Essence,35 090 €
9,MERCEDES CLASSE A IV,MERCEDES,1.3 250 218 BUSINESS LINE,2023,41 480 km,Automatique,Hybrides,36 580 €
10,MERCEDES GLE,MERCEDES,2.1 250 D 204 SPORTLINE,2018,105 070 km,Automatique,Diesel,44 330 €
11,MERCEDES GLA II AMG,MERCEDES,2.0 45 387 AMG S,2023,28 060 km,Automatique,Essence,111 000 €
12,MERCEDES GLC COUPE phase 2,MERCEDES,2.0 300 D 245 AMG LINE,2021,69 671 km,Automatique,Diesel,61 030 €
13,MERCEDES CLASSE G 3,MERCEDES,G LONG 350 D A,2017,123 165 km,Automatique,Diesel,95 080 €
14,MERCEDES CLASSE C IV SW AMG,MERCEDES,4.0 63 476 AMG,2017,96 600 km,Automatique,Essence,44 080 €
15,MERCEDES CLASSE A IV,MERCEDES,2.0 250 224 AMG LINE,2019,91 690 km,Automatique,Essence,30 720 €
16,MERCEDES CLA II SHOOTING BRAKE,MERCEDES,2.0 220 D 190 AMG LINE,2020,87 860 km,Automatique,Diesel,36 830 €
0,MERCEDES CLASSE E V BREAK phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2023,24 581 km,Automatique,Diesel,50 860 €
1,MERCEDES GLA phase 2,MERCEDES,2.1 200 D 136 FASCINATION,2018,125 350 km,Automatique,Diesel,25 050 €
2,MERCEDES CLASSE B II phase 2,MERCEDES,1.6 180 122 SENSATION,2019,90 718 km,Automatique,Essence,19 410 €
3,MERCEDES CLASSE E V BREAK,MERCEDES,2.0 220 D 194,2018,197 220 km,Automatique,Diesel,29 620 €
4,MERCEDES GLC AMG,MERCEDES,3.0 43 367 AMG,2018,190 638 km,Automatique,Essence,46 390 €
5,MERCEDES CLASSE C IV SW phase 2,MERCEDES,2.0 220 D 194 AMG LINE,2022,49 511 km,Automatique,Diesel,54 480 €
6,MERCEDES CLASSE C 4 SW,MERCEDES,BREAK 200 D 9G-TRONIC AMG LINE SW,2022,33 184 km,Automatique,Diesel,41 390 €
